# 四级短语表 · 共 2707 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · CET-4 短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
cut down,,"砍倒, 胜过, 削减, 删节；[机] 切断作业",
cut in,,"插嘴, 插入, 把...插进；[建] 加入, 插入",
cut into,,打断,
cut off,,"切掉, 删去, 切断, 断绝, 中断, 关掉, 使死亡；[建] 切断, 断流, 切去",
cut out,,"切掉, 删掉, 裁剪出, 安排好, 使适合, 停止, 放弃, 取代, 使分离, 突然离开；[建] 切断, 安全器",
cut short,,"打断, 缩减",
cut through,,"抄近路走过, 刺穿",
cut up,,"切碎, 抨击, 摧毁, 使伤心, 胡闹",
dash off,,匆忙完成,
date back,,回溯至,
date back to,,"始于,可以追溯到…",
date from,,始于,
dawn on,,被理解,
day after day,,日复一日,
day and night,,日以继夜,
day in day out,,"日复一日地, 继续不断地",
day off,,休假,
deal in,,"[法] 经营, 做买卖",
deal out,,"分配, 分给",
deal with,,"安排, 处理, 涉及, 做生意",
decide for,,"做出有利于…的决定,赞成",
decide on,,"决定,选定,确定…",
decide upon,,决定，选定：指做出决定或选择某事物。,
dedicate to,,献身,
depart from,,离开…; 背离，违背,
derive from,,"得自, 由来, 衍生",
devote oneself to,,"献身于, 专心于",
die away,,"熄灭, 平息, 消失",
die down,,"枯萎, 凋谢",
die for,,v. 为……而死，为……献身；〈非正式〉渴望得不行：非常渴望或迫切希望得到某物或某种情况,
die from,,"[法] 由于...而死, 死于",
die of,,"死于…,因…而死",
die of illness,,因疾病而死：指因患疾病而导致死亡。,
die off,,"相继死去直至死光, 消亡, 逐个死亡",
die out,,"熄灭, 平息, 消失",
dig down,,"挖下, 掘倒, 掏腰包",
dig in,,掘土以掺进,
dig out,,"掘出, 发现",
dig up,,"掘起, 挖出, 发现, 开垦",
dip into,,"浏览, 稍加研究",
dispose of,,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决",
do a good job,,做得好：表达对某人或某事的称赞，表示某人在完成任务或工作时表现出色。,
do away with,,"废除, 弄死",
do by sb.,,对待（某人）：指对某人的态度、行为或处理方式。,
do down,,"胜过, 欺骗",
do duty for,,当...用,
do for,,"对...有效, 代替",
do justice,,[法] 公平对待,
do justice to,,"公平对待, 适当处理",
do one's best,,尽全力,
do one's bit,,尽自己的一份力量,
do one's duty,,尽职责,
do one's hair,,做头发,
do one's level best,,全力以赴,
do one's share,,尽某人的责任,
do one's utmost,,竭力,
do sb. a favor,,"帮某人的忙,为某人尽力",
do sb. a favour,,"给(某人)以恩惠, 帮(某人)一个忙",
do sb. a good turn,,做一件有利于某人的事,
do sb. good,,对某人有益,
do the honors,,"尽地主之谊, 招待宾客",
do up,,"修缮, 包扎, 整理",
do up one's hair,,梳头,
do with,,"与...相处, 忍受, 对付",
do without,,没有...也可以,
do wrong,,"作恶；[法] 做坏事, 作恶",
double back,,"把...对折, 循原路折回",
double up,,"把...对折, 弯曲, 同宿一室",
down with,,"打倒, 把...拿下",
drag in,,把...拉进去,
drag on,,拖延,
drain off,,渐渐枯竭,
draw a conclusion,,得出结论,
draw aside,/drɔː əˈsaɪd/,抽开，拉开：把某物移开或拉开，以便让其他物品通过或进入。；把注意力从某事物上移开：把注意力从某个话题或问题上移开，转而关注其他事物。,
draw away,,"拉开, 引开, 离开",
draw back,,"收回, 退却, 缩回；[经] 退钱, 退税",
draw in,,"收缩, 引诱, 接近黄昏, 紧缩开支",
draw into,/drɔː ˈɪntə/,v. 使（某人）被迫或不情愿地卷入或参与（某事）；吸引（某人或某物）进入（某地或某种状态），使加入、纳入（组织、体系等）；吸入（空气、烟气、粉尘等）；（列车、船舶等）驶入，开到（车站、港口等）,
draw lots,,抽签,
draw on,,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近",
draw out,,"拉长, 抽出, 引出, 拟订",
draw to a close,,渐近结束,
draw up,,"草拟, 停住, 逼近, 拉起, 整队",
dream of,,"梦见,梦想,向往,渴望",
dream up,,空想出,
dress up,,"打扮, 装饰",
drink down,,"借酒消愁, 比酒量使...醉倒",
drink to,,为...干杯,
drink up,,"痛饮, 大口地喝",
drive at,,意指,
drive away,,"驱车离开; 把…驱开, 赶走; 祛",
drive away at,,努力做,
drive home,,"开车送回家, 使人理解",
drive out,,"开车出去; 驱逐, 驱散; 撵; 祛除",
drive up,,抬高；[化] 加速传动,
drop by,,随便访问,
drop in,,顺便走访,
drop off,,"离开, 散去, 逐渐减少；[机] 落砂",
drop on,,"训斥, 惩罚",
drop out,,"掉出, 退出, 离队；[机] 落砂",
drop over,,顺便拜访,
drop to one's knees,,迫使某人屈服,
drum up,,"纠集, 召集, 竭力争取",
dry out,,"（使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干",
dry up,,"干涸, 住口",
due to,,"由于, 应归于",
dwell on,,"细想, 详述",
dwell upon,,v. 长时间思考、谈论或详述（某个话题、问题等）,
each other,,彼此,
early and late,,"一直, 无论何时",
early or late,,迟早,
earn one's living,,谋生：通过工作或其他方式赚取生活费用。,
ease off,,"放松, 缓和, 减轻",
ease up,,"放慢, 缓和, 减轻",
eat of,,"吃...中的一部分, 吃一些...",
eat off,,吃掉,
eat up,,"吃光, 耗尽, 吞灭",
employ oneself in,,"从事于,忙于,致力于…",
empty of,,完全没有：没有（某物）的状态。；没有……的：没有（某物）的特征或属性。,
end in,,以...为结果,
end off,,结束,
end up,,"竖着, 结束, 死",
end up with,,"以…作为结局,以…而告终",
engaged in,,正忙于，正着手于，正做着，致力于,
engaged with,/ɪnˈɡeɪdʒd wɪð/,参与：与某人或某事物产生联系或参与其中。,
enjoy oneself,,过得快乐,
ensure sb. against,,保护某人免受……：指采取措施以确保某人不受到某种危险、威胁或伤害。,
enter into,,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享；[法] 进入, 参加, 缔结",
enter on,,"正式开始, 着手, 开始考虑, 占有",
enter upon,,"开始, 着手",
equip with,,装备，配备,
even as,,"正巧在...的时候, 正如",
even if,,即使,
even now,,"尽管这样, 即使到现在",
even so,,虽然如此,
even though,,"虽然, 尽管",
ever since,,从那时到现在,
ever so,,非常,
every bit,,"从头至尾, 完全",
every now and then,,"常常, 不时地",
every once in a while,,"时常, 不时, 偶尔",
every other,,"每隔一, 所有其他的",
every other day,,每隔一天；[经] 每隔一天,
every so often,,"时常, 常常, 不时",
except for,,除...以外；[经] 除...外,
exert oneself to,,努力做某事：付出努力去完成某项任务或达到某个目标。,
expect of,,期望，指望：对某人或某事有所期待或指望。,
face to face,,面对面,
face up to,,勇敢地面对,
fade away,,逐渐消失,
fail in,,在…失败;缺乏…,
fail to,,未能…,
fall apart,,"崩溃, 土崩瓦解",
fall away,,"消瘦, 背离, 离开, 消失, 倾斜",
fall back on,,"求助于, 退到, 回头再说",
fall behind,,"落在后面, 拖欠",
fall for,,"上当, 听信; 爱上",
fall in love,,陷入爱河（歌名）; [电影]追爱总动员,
fall in love with,,爱上,
fall in with,,"偶遇, 同意",
fall into,,"落入, 陷于, 开始, 分成, 属于, 注入",
fall off,,"从...跌下, 下降, 减少, 衰退, 离开",
fall on,,"落在…之上;攻击,袭击",
fall on one's knees,,跪下,
fall out,,"脱落, 离队, 争吵, 结果是；[化] 落下; 脱落; 散落物; 核爆炸散落物; 沉降物; 落下灰",
fall out of,,"放弃, 中止",
fall prey to,/fɔːl preɪ tu/,成为……的猎物：指成为某种负面情况、陷阱或欺骗的受害者。；受……的影响：指受到某种负面情况、诱惑或压力的影响。,
fall short of,,"射不中, 不足, 缺乏, 不符合",
fall through,,"失败, 失约",
fall to,,"着手干, 开始进食",
fall under,,"受到, 被归入",
fall upon,,"开始行动, 进攻",
far and away,,"显然, 无疑地",
far and near,,"远近, 到处",
far and wide,,"到处, 广泛地",
far from,,"远离, 远非",
fear for,,为…而担心,
feed on,,"以...为食, 以...为能源",
feed up,,养肥,
feed with,/fiːd wɪð/,用……喂养：给某物提供食物或营养。；用……供给：给某物提供所需的东西。；用……填充：将某物填充到另一个物体中。,
feel amused at,/fiːl əˈmjuːzd æt/,以……自娱，逗……笑：指因为某事感到有趣或好笑。,
feel like,,"摸起来像是…, 有…的感觉; 想要…",
feel out,,试探出...的意见,
feel up to,,觉得能担当,
fight back,,"抵抗, 回击",
fight off,,"击退, 排斥, 避免",
figure on,,"信赖, 指望, 计划, 打算",
figure out,,"合计为, 计算出, 明白",
figure up,,把...加起来；[经] 总计,
fill in,,"填充, 填写, 填满, 替代",
fill out,,"填写, 使长大, 变大, 使长胖, 使完备",
fill up,,"填补, 装满, 装满油；[计] 向上填充",
find expression in,,在...中表现出,
find fault with,,"挑剔,指责,对…吹毛求疵",
find oneself,,"发觉自己的处境, 发现自己能做的事, 自我感觉",
find out,,"找出, 发现, 想出, 揭发",
find out about,/faɪnd aʊt əˈbaʊt/,了解：指获悉或发现某事物的信息或情况。,
finish up,,"结束, 完成, 用光",
finish up with,,以...结束,
finish with,,"完成, 结束, 与...断绝关系",
fire up,,"生火, 突然发怒",
first and foremost,,首要地,
first of all,,首先,
first or last,,"迟早, 早晚",
fish for,,摸索寻找,
fish out,,"捞出, 摸索出, 捕尽鱼",
fit in with,,"适合, 适应, 与...一致",
fit into,,适合,
fix on,,"确定, 决定",
fix one's eyes on,,盯着看：持续地看或凝视某物。,
fix up,,"修理好, 安排好",
flame out,,"突然失灵, 突然冒火焰",
flare out,,发出…亮光; 使向外逐渐展开,
flare up,,"突然起燃, 突然燃烧, 突然发作/加剧, 突然发怒",
flash out,,[化] 闪蒸排出,
flick through,,"浏览,翻阅",
fly into a temper,,"发脾气, 勃然大怒",
focus on,,致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心,
foll around,,暂无释义，可打开词卡用有道查询,
follow out,,"把...查到底, 贯彻, 执行",
follow the example of,,学习…的榜样,
follow through,,坚持到底,
follow up,,"穷追, 把...探究到底；[法] 追查, 追问, 追究",
fool about,,"闲荡, 玩弄",
for a start,,"作为开始, 首先, 第一点",
for ages,,"好久,很久,很长时间",
for all,,尽管,
for anything,,无论如何,
for certain,,肯定地,
for ever,,"永远, 老是",
for example,,例如,
for fear of,,"害怕,恐怕,生怕,唯恐,以防",
for fear that,,唯恐，害怕; 生恐; 惟恐; 生怕,
for good,,"永久地, 永远地, 一劳永逸地",
for good measure,,"作为额外增添, 另外",
for instance,,例如；[法] 例如,
for lack of,,因缺乏,
for life,,"终身, 为了保命, 为逃命；[法] 终身",
for nothing,,"免费, 徒然；[经] 空, 不花钱",
for one thing,,首先,
for one's part,,"对某人来说, 就个人来说",
for sale,,"待售；[经] 出售, 待售",
for short,,"简称, 缩写",
for sure,,确实,
for that matter,,"就此而言, 至于那个, 说到那一点",
for the best,,出于好意,
for the better,,"转好,变好,改善",
for the future,,今后,
for the moment,,"暂时, 目前",
for the present,,暂时,
for the record,,[经] 备案,
for the rest,,至于其他,
for the sake of,,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益",
for the time being,,暂时,
forget about,,"忘记,忘却",
foul up,,"弄脏, 污染, 搞糟",
free and easy,,"随便的, 马虎的, 聚会, 下流场所；[法] 不拘形式的, 自由的, 不拘仪式的集会",
free from,,"解除, 没有...的",
free of,,"无...的, 在...外面",
freeze up,,"冻结, 变呆板；[经] 冻结",
from memory,,"根据记忆,凭记忆",
from now on,,从现在开始,
from time to time,,有时,
gain ground,,"前进, 发展, 普及",
gain on,,"逼近, 超过, 侵蚀",
gear up,,"使换快档, 促进, 增加",
generation gap,,n. 代沟,
get about,,"走动, 旅行, 传开, 积极参加社会活动",
get above oneself,,变得自高自大,
get across,,"通过, 被理解",
get ahead,,"领先, 走在前面, 进步, 获得成功",
get along,,"生活, 融洽相处",
get along with,,"进展, 走开",
get around,,"病后能够走动, (非正式)旅行, 传开来",
get at,,得到; 找到; 责备; 暗示,
get away,,"离开, 逃脱, 起跑, 出发",
get back at,,"报复,对…进行报复",
get back to,,"回到…,继续…",
get by,,"通过, 混过",
get down,,"下来, 吞下, 写下, 使沮丧",
get down to,,开始认真考虑,
get down to work,,开始工作：指开始认真工作。,
get even with,,"和…算帐,向…报仇",
get hold of,,"抓住, 得到",
get in,,"进入, 到达, 收获, 插入, 陷入",
get into,,"进入, 陷入, 穿上",
get into a jam,,"陷入困境, 处于困境",
get into debt,,负债,
get into hot water,,陷入困境,
get into the act,,"参加, 插手",
get nowhere,,无进展,
get off,,"下来, 脱下, 出发, 动身, 开始, 被容忍",
get off the ground,,"开始, 取得进展",
get on,,"生活, 融洽相处, 进展, 穿上, 上去, 使前进",
get on one's nerves,,"使某人心烦, 使某人不安, 令人恼怒",
get on to,,联系某人以提出或讨论某个问题，开始处理某事：指与某人联系以提出或讨论某个问题，或者开始处理某事。；进展到，开始处理：指进展到某个阶段或开始处理某事。,
get on with,,继续（干某事）; 和…友好相处,
get one's hands on,,获得，获取，确保：指成功地获得或获取某物，或确保某物在自己手中。,
get out,,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来",
get out of,,"离开,摆脱",
get out of the way,,"让路,避开;除去,完成",
get over,,"爬过, 克服, 熬过, 恢复, 原谅",
get ready,,准备好,
get rid of,,"摆脱, 除去",
get round,,"避免, 说服, 走动, 传开来",
get the best of,,"战胜,胜过,佔了…的上风;克服,克制",
get the better of,,"战胜, 在...中占上风",
get through,,"做完, 通过, 度过",
get together,,"聚集, 收集, 积累",
get up,,"(使)起床, (使)起立, (使)爬上",
get used to doing sth.,,习惯于...,
give away,,"分发, 放弃, 泄露, 出卖, 丧失",
give back,,"归还, 恢复, 后退",
give birth,,"使诞生, 生（孩子）",
give birth to,,产生,
give ear to,,倾听,
give expression to,,表达出,
give in,,"屈服, 让步, 交上",
give notice,,通知,
give occasion to,,引起,
give off,,发出,
give one's ears,,不惜任何代价,
give out,,"分发, 发出, 发表, 用尽, 精疲力竭",
give over to,,将（某物）交给（某人）使用、处理等：将某物交给某人使用、处理等。；完全受（某事物）影响、控制或参与：允许自己完全受某事物影响、控制或参与。；将（某物）用于特定目的：将某物用于特定目的，通常以“given over to”形式使用。,
give rise to,,"引起, 使发生",
give satisfaction,,"使满意, 接受挑战",
give up,,"放弃, 停止, 献出, 抛弃, 认输, 把...送交；[法] 放弃, 停止, 把...送交",
give way,,"撤退, 让路, 退让, 屈服, 倒塌, 跌价, 垮掉；[经] (股票)下跌",
give way to,,"向…屈服,让位于,为…所代替",
glance through,,浏览,
glimpse at,,看到,
go about,,"从事, 走动, 传开",
go after,,"追逐, 追求",
go against,,"反对, 违反, 不利于",
go ahead,,前进,
go all out,,全力以赴,
go along,,"前进, 进行",
go along with,,"陪...一起去, 赞同, 附和",
go around,,参观; 转动; 走访; 相处,
go at,,"扑向, 着手干",
go away,,走开,
go away from,,离开某处：从某个地方或位置离开。,
go back on,,"违约, 背弃",
go back to,,回去,
go behind bars,,暂无释义，可打开词卡用有道查询,
go beyond the limit,,超过限度,
go by,,"走过, 依照, 顺便走访",
go down,,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去",
go for,,"去找, 努力获取, 被认为, 主张, 拥护",
go hard with sb.,,使某人为难,
go in for,,"参加, 追求, 从事, 赞成",
go into,,"进入, 加入, 探究, 变得, 进入...状态；[法] 调查, 探讨, 进入",
go into action,,"投入战斗, 行动起来",
go into details,,详细讲解：对某个话题或问题进行深入、详细的阐述或讨论。,
go into effect,,"生效,开始实施",
go into operation,,"生效, 开始工作",
go off,,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉",
go off with,,"拿去, 抢走",
go on,,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂；[电] 继续",
go on the stage,,上舞台,
go out,,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工",
go out of business,,歇业,
go out of one's way,,"特地, 不怕麻烦, 故意",
go over,,"转变, 仔细检查, 润色, 复习",
go round,,"到处走动, 顺便去, 流传",
go through,,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完",
go to court,,"起诉, 见君主；[法] 起诉, 朝见君主",
go to excess,,"走极端,做得过分",
go to extremes,,走极端,
go to great lengths,,竭尽全力,
go to pieces,,"瓦解, 身体垮掉",
go to sleep,,"入睡, 睡着",
go to the expense of,,为...花钱,
go together,,"互相协调, 相配, 恋爱",
go under,,"死, 失败, 屈服, 破产",
go up,,"上升, 兴建",
go wild,,"兴奋,高兴,发疯",
go with,,"伴随, 与...相配",
go without,,没有也行,
go without saying,,理所当然,
go wrong,,"走错路, 出毛病, 失败",
good for,,"值...的, 有支付...能力的, 有效的, 对...有用的",
grasp at,,"想抓住, 攫取",
grind on,,坚定地、无情地向前移动,
grind out,,用功做出,
grow into,,"长成,发展成为",
grow on,,"引起...爱好, 加深影响",
grow out,,"长出来,向外增大,膨胀",
grow out of,,"长得与...不相称, 因长大而丢弃",
grow up,,"成熟, 成年, 发展, 逐渐形成",
guarantee against,,保证不,
guard against,,"预防,使提防",
hack into,/hæk ˈɪntu/,v. 侵入，闯入（计算机系统、网络、网站、数据库、账户等）：非法访问或未经授权进入受保护的电子系统或设备，通常为了获取未经授权的信息或进行恶意活动。,
had best,,最好,
had better do sth.,,最好,
had rather,,"宁愿,宁肯…",
had rather than,,"与其...不如..., 宁愿...不愿...",
hail from,,来自,
hammer away at,,不停地努力工作：指持续不断地努力工作或专注于某个任务。,
hammer out,,"锤成, 铲平, 设计出",
hand back,,交还,
hand down,,"把...往下递, 传下来, 宣布；[法] 宣布, 传递, 传给",
hand in,,"交上；[法] 缴纳, 上交",
hand in hand,,"手拉手, 联合",
hand on,,"把...传下去, 传递下去, 发放",
hand out,,"把...拿出来, 分发, 施舍",
hand over,,移交,
hang about,,闲荡,
hang around,,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起",
hang in there,,"坚持到底,硬挺下去",
hang on,,"坚持, 不挂断, 靠着, 渴望, 有赖于",
hang on to,,紧紧握住,
hang together,,"结合在一起, 符合",
hang up,,"挂断, 拖延, 把...挂起来；[经] 抵押, 赊帐",
happen on,,"偶然遇见,碰到",
happen to,,"碰巧,偶然;发生于",
hardly any,,几乎没有,
have a ball,,狂欢,
have a bearing on,,对…有影响;与…有关,
have a dislike of,,不喜欢：指对某事物或某人没有好感或不喜欢。,
have a good time,,过得快乐,
have an effect on,,对...有影响,
have back,/hæv bæk/,准备保护或为某人辩护：指为某人提供支持、保护或辩护的准备工作。,
have in mind,,"思念, 存心",
have mercy on,,对...表示怜悯,
have no business,,没有权利或特权做某事或在某个地方：指没有权利、资格或合法性去做某件事情或进入某个地方。,
have no lack of,,不缺乏,
have notice of,,接到通知,
have on,,"穿着, 戴着, 在手头, 使上钩",
have one's day,,走运,
have respect for,,"考虑..., 关心...",
have sth. to do with,,与...有点关系,
have to,,"不得不, 只好; 只得; 必须; 不得已",
have to do with,,与...有关,
head for,,"出发, 动身, 前往",
head on,,迎面地,
head over heels,,"头朝下, 颠倒, 完全地",
head up,,加盖子于,
hear from,,"接到...的信, 受...批评",
hear of,,听说,
heart and soul,,全心全意地,
heart to heart,,"诚恳地, 贴心地",
help oneself,,自用,
help sb. out,,"帮助某人解决难题, 帮助某人摆脱困境, 帮助某人完成工作",
help sb. with sth.,,帮助(某人)(做)某事,
here and now,,此时此地,
here and there,,"各处, 到处, 四处",
hinge on,,"靠...转动, 以...为转移",
hinge upon,,vi. 随……而定,
hit back,,"反击,击退",
hit on,,"忽然想到,碰巧遇见,到达",
hit upon,,偶然发现,
hold against,,因…对(某人)抱成见，因…而歧视(某人),
hold back,,"踌躇, 阻止, 抑制, 隐瞒；[经] 取消, 阻止, 退缩",
hold down,,"压制, 抑制, 缩减, 牵制, 垂下",
hold fast to,,紧紧抓住，坚守，坚持：在不确定的时候，坚守自己的价值观非常重要。,
hold forth,,"滔滔地说, 提供",
hold in,,"约束, 抑制",
hold off,,"不接近, 拖延, 不使接近",
hold office,,"担任职务,任职",
hold on,,"继续, 不挂断, 停止",
hold on to,,坚持,
hold one's breath,,屏息,
hold one's own,,坚持住,
hold oneself in,,抑制自己的感情,
hold out,,"伸出, 提出, 提供, 坚持, 支持, 维持；[法] 提出, 给予, 主张",
hold over,,"拖延, 继任, 以...威胁；[法] 延期, 继续占有, 期满后继任",
hold together,,"使结合, 团结",
hold up,,"举起, 支撑, 继续下去, 阻挡, 拦截；[法] 支撑, 继续下去, 阻塞",
hold water,,"能盛水, 站得住脚；[法] 站得住脚, 说得通, 有效的",
hold with,,"赞同, 容忍",
hook up,,以钩钩住,
how about,,"…怎么样, …怎么办",
how come,,"为什么, 怎么会…（那样）",
hung up,,念念不忘的; 过于担心的; 过分介意的,
hurry up,,"赶快, 匆匆完成",
hush up,,"防止…张扬出去, 保持沉默, 掩盖",
I dare say,,"我想, 大概",
identify with,,认为…等同于; 觉得与…有联系; 支持; 同情（某人）,
idle about,,"闲逛, 无所事事",
if any,,若有的话,
if only,,只要,
improve on,,改进,
improve upon,,作出比…更好的东西;对…作出改进,
in a hurry,,匆忙,
in a mess,,"肮脏,混乱,紊乱,一塌煳涂,一团糟",
in a moment,,立刻,
in a pinch,,"必要时, 在紧要关头",
in a row,,"成一长行, 连续, 一连串",
in a sense,,在某种意义上,
in a way,,"在某种程度上, 稍稍",
in a word,,总之,
in abundance,,"充足的, 很丰盛",
in accord with,,与...一致,
in accordance with,,"与...一致, 依照",
in addition,,另外,
in addition to,,除...之外,
in advance,,预先；[经] 预先,
in advance of,,"在...前面, 超过",
in all,,"总共；[经] 合计, 全部",
in all directions,,"向四面八方, 向各方面",
in all probability,,很可能,
in and out,,"进进出出, 弯弯曲曲",
in answer to,,"回答, 响应",
in any case,,无论如何,
in any event,,"不论怎样, 无论如何",
in behalf of,,"代表,为了…",
in between,,在中间,
in black and white,,用白纸黑字地写下来,
in brief,,"简言之, 以简洁的形式",
in bulk,,"散装, 大批；[经] 散装, 整批",
in business,,"在营业,在生产,在做生意",
in case,,万一,
in case of,,"假设, 万一",
in character,,"适合, 相称",
in charge of,,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下",
in check,,"在控制中, 被阻止, （象棋中）（敌方主帅）处于被将军地位",
in chorus,,"一齐, 一致, 共同; 齐声",
in cold blood,,"残忍地；[法] 蓄意地, 残忍地",
in collaboration with,,与...合作,
in common,,共有,
in comparison,,相比之下,
in comparison with,,与...比较,
in concert,,"一致, 一齐, 齐声",
in confidence,,"私下地, 秘密地",
in conjunction with,,与...协力,
in connection with,,"与…有联系,与…有关,关于",
in consequence,,结果,
in consequence of,,"由于的...缘故；[法] 由于...缘故, 基于",
in consideration of,,"考虑到；[法] 鉴于, 考虑到",
in contrast,,"比较起来, 相反地, 而",
in contrast to,,"与...形成对照, 而...",
in contrast with,,"与...形成对照, 而...",
in control of,,控制住,
in danger,,在危险中,
in debt,,欠债,
in debt to sb.,,"欠(某人)的债, 受(某人)的恩惠",
in default of,,"因缺少；[法] 因缺..., 在缺少...时",
in defiance of,,"无视, 不顾",
in demand,,"[经] 销路好, 有需要",
in depth,,深入地,
in detail,,详细地,
in difficulties,,"[经] 有困难, (经济)拮据",
in disgrace,,"失宠,受辱,丢脸;可耻地,不光彩地",
in disguise,,乔装着,
in dispute,,在争论中,
in doubt,,"感到怀疑的, 有怀疑的, 不敢肯定的, 拿不准的, 被怀疑的",
in due course,,"及时地, 在适当时；[经] 顺次, 适期",
in duplicate,,[经] 一式二份,
in earnest,,"正经地, 诚心地",
in effect,,"有效；[法] 有效, 生效, 实际上",
in error,,错误地,
in essence,,"本质上, 实质上；[法] 实质上",
in every way,,在多方面,
in evidence,,"明显；[法] 明显的, 显而易见的",
in excess of,,"超过, 较...为多",
in exchange for,,交换,
in face of,,"面对,在…面前;不顾,即使",
in fact,,事实上；[法] 事实上,
in faith,,"确实, 的确",
in fashion,,"时髦,流行,合潮流",
in favor of,,"赞同, 有利于",
in favour of,,"[经] 同意, 支持, 有利于...",
in focus,,"焦点对准, 清晰",
in force,,"大规模地, 有效的；[经] 有效",
in front of,,在...前面,
in full,,"充足, 以全文；[经] 全额",
in full blossom,,盛开：指花朵完全开放的状态，形容花儿的美丽和生命力。,
in full swing,,"正在全力进行中, 活跃",
in future,,[法] 将来,
in general,,大多数,
in good faith,,诚心诚意地；[经] 诚信,
in good health,/ɪn ɡʊd helθ/,身体健康：指身体状况良好，没有生病或患病的迹象。,
in great force,,"大规模地, 大举",
in half,,"分成两半,平分",
in hand,,"在手头, 在进行中, 掌握住；[法] 处理中, 受到控制",
in harmony with,,"与...协调, 与...一致",
in haste,,匆忙,
in honor of,,"为向…表示敬意,为庆祝…为纪念…",
in hot pursuit,,紧追不舍：追逐并且接近抓住某人。,
in itself,,"本身,实质上",
in kind,,"以货代款；[经] 以货代款, 以实物",
in league with,,和...联合着,
in leaps and bounds,/ɪn liːps ənd baʊndz/,突飞猛进：形容某事物的进展非常迅速和显著。,
in light of,,"按照, 根据",
in line,,"成一直线, 一致, 协调, 有秩序",
in line with,,符合,
in luck,,运气好,
in memory of,,纪念...,
in nature,,"实际上, 本质上；[法] 性质上, 实际上, 在任何地方",
in no case,,决不,
in no time,,立刻,
in no way,,决不,
in one's debt,,"欠(某人)的债, 受(某人)的恩惠",
in one's honour,,为了纪念某人或表示敬意而做的事情或活动,
in one's own right,,凭本身的头衔,
in one's presence,,"在某人面前, 当着某人的面",
in one's shoes,,"处在(某人的)位置, 陷入(某人的)处境",
in operation,,"运转着, 生效；[法] 正在实施",
in order,,"整齐, 状况良好, 适宜",
in order that,,"为了,以便",
in order to,,为了…,
in other words,,换句话说,
in part,,部分地,
in particular,,特别,
in person,,"亲自, 外貌上；[法] 亲自",
in place,,"在适当的位置, 适当",
in place of,,代替；[法] 代替,
in point of,,"关于, 就...而言",
in practice,,"在实践中, 实际上, 熟练",
in print,,"已出版, 在销售中",
in private,,"私下, 秘密地",
in proportion to,,与...成比例,
in public,,当众,
in quantity,,大量,
in question,,"正被讨论, 可怀疑；[法] 正被谈论的, 成问题的, 被争论",
in reality,,"实际上, 事实上",
in regard to,,关于；[法] 关于,
in relation to,,"关于, 涉及",
in respect that,,因为,
in response to,,"回答..., 响应..., 对...有反应；[法] 为响应, 答复",
in return,,作为报答,
in return for,,作为...的报答,
in reverse,,"在背面,在反面,反过来",
in ruins,,成为一片废墟,
in school,,在求学,
in search of,,寻找,
in season,,"当令, 及时, 及早",
in secret,,秘密地,
in session,,"在开会, 在开庭, 在上课；[法] 在开庭, 在开会",
in short,,简而言之；[法] 简言之,
in sight,,被看到,
in so far as,,"至于, 就...",
in spite of,,不管,
in step,,步调一致,
in stock,,"现有, 在贮存中；[经] 在仓库中, 有存货",
in store,,"贮藏着, 保存着, 准备着, 将要发生；[经] 存仓",
in strength,,"大量地,许多",
in sum,,总言之,
in summary,,总之,
in support of,,"支持, 支援",
in tears,,流着泪,
in terms of,,"用...的话, 根据, 按照, 在...方面；[法] 用...话, 以...措词, 按照",
in that,,"既然, 因为",
in the abstract,,"抽象地, 理论上",
in the act of,,"在…的作案过程中,当场",
in the air,,"在空中, 悬而未决, 在流传中, 不设防；[法] 未定的",
in the balance,,悬而未决，犹豫; 在危急状态中,
in the behalf of,,暂无释义，可打开词卡用有道查询,
in the case of,,在...的情况,
in the circumstances,,既然这样,
in the course of,,"在...期间；[法] 在...过程中, 在...期间",
in the dark,,"在黑暗中, 秘密地, 不知道；[法] 蒙在鼓里",
in the distance,,在远处,
in the end,,"最后, 终于",
in the end of,,暂无释义，可打开词卡用有道查询,
in the event of,,如果...发生；[法] 如果...发生,
in the event that,/ɪn ði ɪˈvent ðæt/,如果：表示假设情况下的条件。,
