序号,单词,音标,词性,中文释义,英文例句,分类,小节
5,system,/ˈsɪstəm/,n.,制度；系统,Their education system is useless. 他们的教育制 10 list shop store system case keep business result service pay price free rate trade own agent basic hug generous feedback airport seldom,Level 1,Day 10
6,program,/ˈproʊɡræm/,n.,程序,Load the program into the computer.把程序输入 电脑。,Level 1,Day 10
7,point,/pɔɪnt/,n.,观点；重点；得分,She made some interesting points in the report. 她 在报告中提出了几个有趣的观点。,Level 1,Day 10
8,case,/keɪs/,n.,情况,"If that is the case, we need more staff. 如果真是 那样，我们就需要更多的员工了。",Level 1,Day 10
9,keep,/kiːp/,v.,保持 [过去式kept 过去分词kept 现在分词keeping],Keep away from the doors while the train is moving. 列车运行时请远离车门。,Level 1,Day 10
10,business,/ˈbɪznəs/,,,,Level 1,Day 10
11,market,/ˈmɑːrkɪt/,n.,市场,He likes to shop at the local market. 他喜欢到本 地市场买东西。,Level 1,Day 10
12,plan,/plæn/,n.,计划,The plan was generally welcomed. 这个计划受 到普遍的欢迎。,Level 1,Day 10
13,result,/rɪˈzʌlt/,n.,结果,Many hair problems result from what you eat. 多头发问题是由你吃的东西引起的。,Level 1,Day 10
14,service,/ˈsɜːrvɪs/,n.,服务,The local bus service is good. 当地的公交线路运 营良好。,Level 1,Day 10
15,pay,/peɪ/,v.,支付 [第三人称单数pays 过去式paid 过去分词paid 在分词paying],to pay a bill 支付账单,Level 1,Day 10
16,cost,/kɔːst/,v.,花费；使付出 36<< 零基础词汇讲义Level 1 [过去式cost 过去分词cost 现在分词costing],to cut costs 降低成本 | How much did it cost?这东西要多少钱？,Level 1,Day 10
17,spend,/spend/,v.,度过；花费 [过去式spent 过去分词spent 现在分词spending],I spend too much time watching television.我看电 视花的时间太多。,Level 1,Day 10
18,price,/praɪs/,n.,价格；代价,The price of gold was going up. 黄金的价格上 涨了。,Level 1,Day 10
19,free,/friː/,adj.,免费的；自由的,She spent her free time shopping. 她将空闲时间 很 花在购物上。,Level 1,Day 10
20,rate,/reɪt/,n.,率,The birth rate fell to a record low last year. 去年 的出生率降到了创纪录的最低点。,Level 1,Day 10
21,account,/əˈkaʊnt/,n.,账户；描述 现 e.g. I don't have a bank account. 我没有银行账户。,Several factors might account for the problem. 有 以下几个因素可以解释这个现象。 | The Japanese market accounts for 35% of the company's revenue.日本市场占该公司收入的35%。,Level 1,Day 10
22,amount,/əˈmaʊnt/,,,,Level 1,Day 10
23,trade,/treɪd/,n.,贸易,I am willing to make a trade with you. 我愿意和 你做个交易。,Level 1,Day 10
24,own,/oʊn/,adj.,自己的,They enjoy making their own decisions. 他们喜 欢做他们自己的决定。,Level 1,Day 10
25,agent,/ˈeɪdʒənt/,n.,代理人,an insurance agent 保险经纪人,Level 1,Day 10
26,agency,/ˈeɪdʒənsi/,n.,代理，中介,a local housing agency 一家当地房屋中介,Level 1,Day 10
27,base,/beɪs/,n.,基础；基地,She used her family's history as a base for novel.她以她的家族史作为小说的素材。,Level 1,Day 10
28,basic,/ˈbeɪsɪk/,adj.,基本的；基础的,Contact with other people is a basic human 和他人接触是人的基本需要。,Level 1,Day 10
29,hug,/hʌɡ/,n.,拥抱 [过去式hugged 过去分词hugged 现在分词hugging],She gave her mother a big hug. 她热烈地拥抱了 她的母亲。,Level 1,Day 10
30,generous,/ˈdʒenərəs/,adj.,慷慨的，大方的,"He was a warm, generous and kind-hearted man. 他是个热情、大方又热心肠的人。",Level 1,Day 10
31,wisdom,/ˈwɪzdəm/,n.,智慧,Experience is the mother of wisdom. 经验为智慧 之母。,Level 1,Day 10
32,goods,/ɡʊdz /,n.,商品,You can buy our goods over the Internet. 可以通 过互联网购买我们的货品。,Level 1,Day 10
33,feedback,/ˈfiːdbæk /,n.,反馈,The 师会对你的测验提供反馈信息。,Level 1,Day 10
34,airport,/ˈerpɔːrt/,n.,机场,Will you meet me at the airport? 你到机场接我 好吗？ her 35. seldom /ˈseldəm/ | They seldom watch television these days. 这些日 子他们很少看电视。 need. 36. flaw /flɔː/ | There was a flaw in the plan. 计划中有一个缺陷。,Level 1,Day 10
37,shortage,/ˈʃɔːrtɪdʒ/,n.,缺乏，不足,,Level 1,Day 10
38,intelligent,/ɪnˈtelɪdʒənt/,adj.,智能的；聪明的,She's even more intelligent than her sister. 她甚至 比她姐姐还聪明。,Level 1,Day 10
39,fact,/fækt/,n.,岛 事实；真相,"That sounds simple, but in fact it's very difficult. 那听起来很简单，但实际上非常难。",Level 1,Day 10
40,factor,/ˈfæktər/,n.,因素,Confidence is the key factor in success. 自信是成 功的关键因素。,Level 1,Day 10
1,part,/pɑːrt/,n.,部分；角色,The crowd parted in front of them. 人群在他们面 前分开了。 | The Internet has become part of everyday life. 联网已成为日常生活的一部分。,Level 1,Day 11
2,party,/ˈpɑːrti/,n.,党派；派对,We threw a huge birthday party. 我们举办了一 次盛大的生日派对。,Level 1,Day 11
3,park,/pɑːrk/,n.,公园,He found a place to park the car. 他找到了一个 停车的地方。,Level 1,Day 11
4,film,/fɪlm/,n.,电影 线｜教研团队,I missed the end of the film. 我错过了影片的 结尾。 11 list park film movie choose choice option available deal detail rule role quality able ability experience number percent data,Level 1,Day 11
5,movie,/ˈmuːvi/,n.,电影,The movie has an exciting opening. 电影的开头 非常刺激。,Level 1,Day 11
6,form,/fɔːrm/,n.,形式；表格 互 v. 构成,An idea formed in his mind. 一个想法在他的脑 子里形成了。,Level 1,Day 11
7,team,/tiːm/,n.,队,You need to be able to work as part of a team. 你 必须能作为团队的一员去工作。,Level 1,Day 11
8,choose,/tʃuːz/,v.,选择，决定 [过去式chose 过去分词chosen 现在分词choosing],Many people choose not to marry. 许多人选择不 结婚。,Level 1,Day 11
9,choice,/tʃɔɪs/,n.,选择,,Level 1,Day 11
10,option,/ˈɑːpʃn/,n.,选项；选择权,Students have the option of studying abroad in second year.学生在二年级时可以选择出国学习。,Level 1,Day 11
11,avoid,/əˈvɔɪd/,v.,避免；回避,You should avoid mentioning his work. 你应该避 免提及他工作的事。 | Remember to call me when you arrive! 你到了之 后别忘了给我打电话！,Level 1,Day 11
13,available,/əˈveɪləbl/,adj.,可获得的,All the options are now available. 所有的方案现 在均可选择。,Level 1,Day 11
14,deal,/diːl/,n.,交易 [过去式dealt 过去分词dealt 现在分词dealing 人称单数deals],a great deal of money 许多钱 | We must take steps to deal with the problem. 们必须采取措施处理这个问题。,Level 1,Day 11
15,detail,/ˈdiːteɪl/,n.,细节,He had an eye for detail. 他很善于发现并记住细节。,Level 1,Day 11
16,product,/ˈprɑːdʌkt/,,,Try to get the best product at the lowest price.,Level 1,Day 11
17,purchase,/ˈpɜːrtʃəs/,v.,购买 their e.g. They purchased the land for $1 million. 他们以 100 万美元买下了这块土地。,,Level 1,Day 11
18,rule,/ruːl/,n.,规则,to break a rule 违反规定 | The court has not ruled on the case. 法院尚未对 此案做出裁决。,Level 1,Day 11
19,role,/roʊl/,n.,角色；作用,Money played an important role in his life. 金钱 在他的生活中扮演了重要的角色。,Level 1,Day 11
20,quality,/ˈkwɑːləti/,n.,质量,Everyone can greatly improve the quality of life. 人人都能大幅提高生活质量。 第三 21. activity /ækˈtɪvəti/ | Reading can be a social activity. 阅读也可以是 我 一项社交活动。,Level 1,Day 11
22,security,/sɪˈkjʊrəti/,n.,安全,They are seriously concerned about security. 他们 非常关注安全问题。,Level 1,Day 11
23,able,/ˈeɪbl/,adj.,能；有能力的,You must be able to speak French for this job.干 尽,Level 1,Day 11
24,ability,/əˈbɪləti/,n.,能力,No one doubted his ability. 没有人怀疑他的能力。,Level 1,Day 11
25,experience,/ɪkˈspɪriəns /,n.,经验；经历,The book is based on personal experience. 是根据个人经历写成的。,Level 1,Day 11
26,glory,/ˈɡlɔːri /,,,She wanted to enjoy her moment of glory. 她希望,Level 1,Day 11
27,flu,/fluː/,n.,流感,I got the flu. 我得了流感。,Level 1,Day 11
28,number,/ˈnʌmbər/,n.,数量；数字,A large number of people have applied for the 许多人申请了这工作。 *补充：a number of 大量的,Level 1,Day 11
29,percent,/pərˈsent/,n.,百分数,Costs have been cut by 30 percent. 开销已经减少 了30%。,Level 1,Day 11
30,data,/ˈdeɪtə/,n.,数据,"The study was based on data from 2,100 women. 此项研究以从2100位女性身上获得的资料为依据。",Level 1,Day 11
31,share,/ʃer/,n.,股份；份额,I want to share my life with you. 我想和你共享 生活。 | a fall in share prices 股票价格的跌落,Level 1,Day 11
32,half,/hɑːf/,n.,一半,He has a half share in the company. 本书 他拥有该公 司的一半股份。,Level 1,Day 11
33,stock,/stɑːk/,n.,股份；库存,He made a fortune on the stock market. 他在股票 市场发了大财。,Level 1,Day 11
34,balance,/ˈbæləns/,n.,平衡,The government has to balance these two needs. 政府得平衡这两种需求。 job. 35. add /æd/ | Shall I add your name to the list?我可以把你的名 字写进名单吗？,Level 1,Day 11
36,rise,/raɪz/,v.,升起；(数量)增加 [过去式rose 过去分词risen 现在分词rising ],There has been a sharp rise in the number of people out of work.失业人数急剧增长。,Level 1,Day 11
37,raise,/reɪz/,v.,提高；养育；上升,We have to raise our prices because of rising costs.,Level 1,Day 11
38,reduce,/rɪˈduːs/,v.,减少；降低,Costs have been reduced by 20% over the year. 过去一年，各项费用已经减少了20%。,Level 1,Day 11
39,drop,/drɑːp/,v.,下降 42<< 零基础词汇讲义Level 1,His blood pressure dropped severely. 他的血压 急剧下降。,Level 1,Day 11
40,increase,/ɪnˈkriːs/,n.,增加,There was a 20% increase in sales. 销售量增加了 20%。,Level 1,Day 11
1,happen,/ˈhæpən/,v.,发生,Nobody knows what will happen next. 没有人知 道接下来将会发生什么事。,Level 1,Day 12
2,appear,/əˈpɪr/,v.,出现；似乎,An image began to appear on the screen. 屏幕上 出现了一幅图像。 | She didn't appear surprised at the news.她听到这 消息时，没有显得惊讶。,Level 1,Day 12
3,occur,/əˈkɜːr/,v.,发生；出现,Something unexpected occurred. 发生了一件出 乎意料的事。,Level 1,Day 12
4,lack,/læk/,n.,缺乏，不足,He lacks confidence.他缺乏信心 | a lack of food 缺乏食物 线｜教研团队,Level 1,Day 12
5,enough,/ɪˈnʌf/,adv.,足够地 12,,Level 1,Day 12
6,compare,/kəmˈper/,v.,比较,We compared the two reports carefully.我们仔细 地比较了两个报告。,Level 1,Day 12
7,improve,/ɪmˈpruːv/,v.,改善，提高,I need to improve my English. 我需要提高我的 英语水平。,Level 1,Day 12
8,focus,/ˈfoʊkəs/,n.,焦点,The discussion focused on three main problems. 讨论集中在三个主要问题上。,Level 1,Day 12
9,involve,/ɪnˈvɒlv/,v.,包含；牵涉,Parents should involve themselves in their child's education. 父母应当参与孩子的教育。,Level 1,Day 12
10,link,/lɪŋk/,,,,Level 1,Day 12
11,matter,/ˈmætər/,n.,事件,It's a matter of personal preference. 那是个人的 爱好问题。,Level 1,Day 12
12,fake,/feɪk/,n.,假货,He isn't a fake. 他不是一个骗子。,Level 1,Day 12
13,bonus,/ˈboʊnəs/,n.,奖金,Almost nobody trusts the bonus system. 几乎没 有人相信奖金制度。,Level 1,Day 12
14,worth,/wɜːrθ/,adj.,值得的,This idea is well worth considering. 这个想法很 值得考虑。,Level 1,Day 12
15,worthy,/ˈwɜːrði/,adj.,值得的,The book is well worthy of his reputation. 这本书 完全配得上他的声望。,Level 1,Day 12
16,grow,/ɡroʊ/,v.,发展；生长 [过去式grew 过去分词grown 现在分词growing] 展独自的个性。 44<< 零基础词汇讲义Level 1,,Level 1,Day 12
17,growth,/ɡroʊθ/,n.,发展；生长,The area has seen a rapid population growth. 这个 地区人口快速增长。,Level 1,Day 12
18,worldwide,/ˈwɜːldwaɪd/,adj.,全世界的,The story has attracted worldwide attention. 这件 事已经引起了全世界的关注。,Level 1,Day 12
19,home,/hoʊm/,n.,家；家乡,at home and abroad 国内外,Level 1,Day 12
20,house,/haʊs/,n.,住宅；家庭,The,Level 1,Day 12
21,room,/ruːm/,n.,房间；空间,a living room 起居室,Level 1,Day 12
22,door,/dɔːr/,n.,门,There's someone at the door. 门口有个人。,Level 1,Day 12
23,wall,/wɔːl/,n.,墙壁,She climbed over the wall. 她翻过墙去。,Level 1,Day 12
24,window,/ˈwɪndoʊ/,n.,窗户,I climbed through the window. 我从窗口爬了出来。,Level 1,Day 12
25,floor,/flɔːr/,n.,地面；楼层,,Level 1,Day 12
26,ground,/ɡraʊnd/,n.,地面；根据，理由,He threw me to the ground. 他把我摔倒在地。 | In the interview he gave some grounds optimism. 采访中他给出了一些乐观的理由。,Level 1,Day 12
27,key,/kiː/,n.,钥匙；关键,Cost was a key factor in our decision. 价钱是我 们决策时考虑的主要因素。,Level 1,Day 12
28,table,/ˈteɪbl/,n.,桌子；表格,The table is six feet long. 那张桌子长六英尺。,Level 1,Day 12
29,department,/dɪˈpɑːrtmənt/,n.,部门,He moved to the sales department. 他调到了 销售部。,Level 1,Day 12
30,dollar,/ˈdɑːlər/,n.,美元,She gets paid seven dollars an hour. 她的报酬是 每小时7 美元。,Level 1,Day 12
31,degree,/dɪˈɡriː/,n.,程度；学位,"These statements are, to some degree, all correct. 这些陈述在某种程度上都正确。 | She's reading for a law degree. 她在攻读法学学位。",Level 1,Day 12
32,gain,/ɡeɪn/,v.,获得,Students can gain valuable experience by working on the campus radio. 学生们通过在校园广播台工作 能够获得宝贵的经验。,Level 1,Day 12
33,earn,/ɜːrn/,v.,赚得；获得 for e.g. He earns about $40 000 a year. 他一年大约挣 4 万美元。,,Level 1,Day 12
34,credit,/ˈkredɪt/,n.,学分；信任；荣誉,We did all the work and she gets all the credit! 工 作都是我们干的，而功劳却都归了她！ | My math class is worth three credits.我的数学课 为三个学分。 | Are you paying in cash or by credit card ? 您付现 金还是用信用卡？,Level 1,Day 12
35,bill,/bɪl/,n.,法案；账单,They | the Education Reform Bill 教育改革法案,Level 1,Day 12
36,mile,/maɪl/,n.,英里,She lives just half a mile away. 她就住在半英里 之外。,Level 1,Day 12
37,income,/ˈɪnkʌm/,n.,收入,What is their main source of income? 他们的主 要收入来源是什么？,Level 1,Day 12
38,profit,/ˈprɑːfɪt/,n.,利润,They will make a handsome profit. 他们将赚取 一笔可观的利润。,Level 1,Day 12
39,train,/treɪn/,n.,火车,He is training for the new season. 他正在为新赛 季进行训练。 46<< 零基础词汇讲义Level 1,Level 1,Day 12
40,station,/ˈsteɪʃn/,n.,车站,The train arrived at the station 20 minutes late. 火 车迟了20 分钟到站。,Level 1,Day 12
1,pretty,/ˈprɪti/,adj.,漂亮的,I'm pretty sure that he will agree. 他会同意的， 对此我相当有把握。,Level 1,Day 13
2,nice,/naɪs/,adj.,美好的,You look very nice. 你很好看。,Level 1,Day 13
3,weight,/weɪt/,n.,重量,She is trying to lose weight. 她正在设法减肥。,Level 1,Day 13
4,figure,/ˈfɪɡjər/,n.,数字；人物,"a leading figure in the music industry 音乐界一位 主要人物 | By 2004, this figure had risen to 14 million. 2004 年为止，这个数字已增长到1400 万。 | We could figure out the problem. 线｜教研团队 我们可以解决 这个问题。",Level 1,Day 13
5,shape,/ʃeɪp/,n.,形状,,Level 1,Day 13
6,health,/helθ/,n.,健康,We all desire health and happiness. 我们都渴望 健康和幸福。,Level 1,Day 13
7,model,/ˈmɑːdl/,n.,模型；模特,She is a model student. 她是模范学生。,Level 1,Day 13
8,behavior,/bɪˈheɪvjər/,n.,行为，举止,We should not reward bad behavior. 我们不应当 奖励坏的行为。,Level 1,Day 13
9,site,/saɪt/,n.,地点,This site has been chosen for the new school. 这 块场地已被选作新学校的校址。,Level 1,Day 13
10,size,/saɪz/,,,,Level 1,Day 13
11,image,/ˈɪmɪdʒ/,n.,图像；形象,His public image is very different from the person.他在公众心目中的形象与他真实的本人截 然不同。,Level 1,Day 13
12,picture,/ˈpɪktʃər/,n.,照片,The picture shows a side view of the house. 图是房子的侧面。,Level 1,Day 13
13,fun,/fʌn/,n.,乐趣,Have fun! 尽情地玩吧！,Level 1,Day 13
14,disease,/dɪˈziːz/,n.,疾病,The disease spreads easily. 这种疾病容易传播。,Level 1,Day 13
15,doctor,/ˈdɑːktər/,n.,医生；博士,He is a doctor of philosophy. 他是一位哲学博士。,Level 1,Day 13
16,patient,/ˈpeɪʃnt/,adj.,有耐心的,Please be patient. 请耐心点儿。,Level 1,Day 13
17,hospital,/ˈhɑːspɪtl/,n.,医院,I met her at the hospital. 我在医院遇见了她。 48<< 零基础词汇讲义Level 1 | He is quite a serious person. 他是一个相当严肃 的人。,Level 1,Day 13
19,kill,/kɪl/,v.,杀死 real e.g. Cancer kills thousands of people every year. 每年 数以千计的人死于癌症。,,Level 1,Day 13
20,save,/seɪv/,v.,节省；保存；救助,We should try to save water. 我们应设法节约用水。 | Doctors were unable to save her. 医生未能把她救活。 | Save some food for me. 这张 给我留点吃的。,Level 1,Day 13
21,effort,/ˈefərt/,n.,努力,Everybody should make an effort to reduce pollution. 每个人都应为减少污染尽一份力。,Level 1,Day 13
22,fire,/ˈfaɪər/,n.,火,It took two hours to put out the fire. 用了两小时 才把火扑灭。 | She got fired from her first job. 她第一次工作就 被解雇。,Level 1,Day 13
23,line,/laɪn/,n.,线；行,The telephone lines went dead. 电话线路不通了。,Level 1,Day 13
24,drug,/drʌɡ/,n.,药；毒品,This drug is used to lower blood pressure. 这种药 用于降血压。,Level 1,Day 13
25,treat,/triːt/,,,,Level 1,Day 13
26,treatment,/ˈtriːtmənt/,n.,治疗，疗法,He had to go to hospital for treatment. 他不得不 去医院接受治疗。,Level 1,Day 13
27,strategy,/ˈstrætədʒi/,n.,策略,,Level 1,Day 13
28,standard,/ˈstændərd/,n.,标准,People enjoy a high standard of living. 人民享有 很高的生活水平。,Level 1,Day 13
29,solution,/səˈluːʃn/,n.,解决方案,I managed to find a solution to the problem. 法找出了解决问题的办法。,Level 1,Day 13
30,heaven,/ˈhevn/,n.,天堂,The island is truly a heaven on earth. 那座岛堪称 人间天堂。,Level 1,Day 13
31,headline,/ˈhedlaɪn/,n.,标题；头版头条新闻,I'll never forget today's local newspaper headline. 我永远不会忘记今天当地报纸上的新闻头条。,Level 1,Day 13
32,investment,/ɪnˈvestmənt/,n.,投资 投资而不是一种花费。,,Level 1,Day 13
33,well-known,/ˌwel ˈnoʊn/,adj.,著名的；众所周知的,Peking University is very well-known. 北京大学 是非常著名的。,Level 1,Day 13
34,tide,/taɪd/,n.,潮流；潮汐,The tide was at its highest. 潮水那时正处于最高位。,Level 1,Day 13
35,evidence,/ˈevɪdəns/,n.,证据,We found further evidence for this theory.我们找 到了进一步证实这种理论的根据。,Level 1,Day 13
36,prove,/pruːv/,v.,证明,This information could prove useful. 这条信息也 许有用。,Level 1,Day 13
37,support,/səˈpɔːrt/,v.,支持；帮助,The president gave his full support to the reforms. 我设 该总统对改革予以了全力的支持。,Level 1,Day 13
38,capital,/ˈkæpɪtl/,n.,首都；资金,Companies are having difficulty in raising capital. 各公司在融资方面遇到麻烦。,Level 1,Day 13
39,gradual,/ˈɡrædʒuəl/,adj.,逐渐的；平缓的,Losing weight is a slow and gradual process. 减肥 是一个缓慢而逐渐的过程。,Level 1,Day 13
40,eager,/ˈiːɡər/,adj.,渴望的,She is eager for her parents' praise. 她渴望得到 父母的赞许。,Level 1,Day 13
1,history,/ˈhɪstri/,n.,历史；历史记录,He had a history of drinking problems. 他有酗酒 的记录。,Level 1,Day 14
2,government,/ˈɡʌvərnmənt/,n.,政府,They hope to form the new government. 他们希 望组建新政府。,Level 1,Day 14
3,policy,/ˈpɑːləsi/,n.,政策,They are arguing over foreign policy. 他们在讨 论外交政策。,Level 1,Day 14
4,political,/pəˈlɪtɪkl/,adj.,政治的,She enjoyed political life. 她喜爱政治生活。,Level 1,Day 14
5,war,/wɔːr/,n.,战争,civil war 内战 | The war was finally at an end. 线｜教研团队 战争终于结束了。,Level 1,Day 14
6,event,/ɪˈvent/,n.,事件 50<< 零基础词汇讲义Level 1 14,,Level 1,Day 14
7,main,/meɪn/,adj.,主要的,The main thing is to remain calm. 最重要的是要 保持冷静。,Level 1,Day 14
8,join,/dʒɔɪn/,v.,参加,They may apply to join the organization. 他们可 能申请加入该组织。,Level 1,Day 14
9,act,/ækt/,v.,行动；表现,an Act of Congress 一项议会法案 | You must act confidently. 你必须表现得自信。,Level 1,Day 14
10,action,/ˈækʃn/,n.,行动,"As always, Peter had a reason for his action. 如往 常一样，彼得对他的行为总有理由。",Level 1,Day 14
11,art,/ɑːrt/,n.,艺术,,Level 1,Day 14
12,air,/er/,n.,空气；天空,Let's go out for some fresh air. 咱们出去呼吸点 新鲜空气。 | air travel 乘飞机旅行,Level 1,Day 14
13,vote,/voʊt/,n.,投票,Did you vote for or against her? 你投了她的赞成,Level 1,Day 14
14,stage,/steɪdʒ/,n.,阶段；舞台,The product is at the design stage. 产品处于设计 阶段。,Level 1,Day 14
15,attention,/əˈtenʃn/,n.,注意力,We must pay attention to this point. 我们必须注 意这一点。,Level 1,Day 14
16,election,/ɪˈlekʃn/,n.,选举,We had an election last year. 我们去年进行了一 次选举。,Level 1,Day 14
17,fund,/fʌnd/,n.,基金；资金,The concert will raise funds for research AIDS. 这场音乐会将为艾滋病研究筹集资金。,Level 1,Day 14
18,measure,/ˈmeʒər/,n.,测量；措施,This measure means higher taxes in the long 从长远来看这项举措的结果就是要多纳税。,Level 1,Day 14
19,attack,/əˈtæk/,n.,攻击；抨击,He publicly attacked the people. 他公开抨击了那 些人。,Level 1,Day 14
20,foreign,/ˈfɔːrən/,adj.,外国的；外交的,They dream of travelling to foreign lands. 他们梦 想去外国旅游。,Level 1,Day 14
21,language,/ˈlæŋɡwɪdʒ/,n.,语言,Students should learn a second language. 学生们 应该学习一门第二语言。,Level 1,Day 14
22,campaign,/kæmˈpeɪn/,n.,运动；活动,a campaign of air attacks 空袭行动,Level 1,Day 14
23,hit,,v.,打击；袭击 [过去式hit 过去分词hit 现在分词hitting],That car nearly hit us! 那辆车差点撞了我们！ | The plan is going to hit me hard. 这一方案会严 重影响到我。 | The song became a hit in 1945. 这首歌在1945 年 取得了巨大成功。 into 24. fit /fɪt/,Level 1,Day 14
25,fix,/fɪks/,v.,固定；维修；安排,The date of the election was fixed. 选举的日期定 下来了。 | I have fixed the problem.我已解决了这个问题。,Level 1,Day 14
26,sole,/soʊl/,adj.,唯一的；单独的,My sole reason for coming here was to see you. 到这儿唯一的原因就是来看你。,Level 1,Day 14
27,direct,/dəˈrekt/,v.,导演；指向,He directed various TV shows. 他导演过各种电 视节目。,Level 1,Day 14
28,director,/dəˈrektər/,n.,主管；导演,a regional director 地区主管,Level 1,Day 14
29,lose,/luːz/,v.,丢失；输 [过去式lost 过去分词lost 现在分词losing],to lose a game 输掉比赛 | I have lost my keys.我把钥匙丢了。,Level 1,Day 14
30,loss,/lɔːs/,n.,亏损；遗失,The company has announced net losses of million. 公司宣告净亏损150 万元。,Level 1,Day 14
31,trip,/trɪp/,n.,旅行,"I hope you enjoy your trip. 祝你旅途愉快。 52<< 零基础词汇讲义Level 1 | When sound travels through water, strange things can happen. 当声音在水中传播时，奇怪的事情会发生。",Level 1,Day 14
33,enjoy,/ɪnˈdʒɔɪ/,v.,享受；喜爱,I enjoy playing basketball. 我喜欢打篮球。,Level 1,Day 14
34,single,/ˈsɪŋɡl/,adj.,我 单一的；单身的,Is it difficult being a single mother? 当单身母亲 难吗？,Level 1,Day 14
35,couple,/ˈkʌpl/,n.,一对；夫妇,The couple have no children. 这对夫妇没有孩子。 | I think the trouble will clear up in a couple of days. 我想几天内麻烦就会解决。,Level 1,Day 14
36,perform,,v.,执行；表演；表现,He performed well in his exams. 他考得很好。 | A computer can perform many tasks. 电脑能做多 项工作。,Level 1,Day 14
37,performance,/pərˈfɔːrməns/,n.,表演；表现 $1.5 e.g. the country's economic performance 国家的经济 状况,,Level 1,Day 14
38,chance,/tʃæns/,n.,机会,Please give me a chance to explain.请给我一个解 释的机会。,Level 1,Day 14
39,opportunity,/ˌɑːpərˈtuːnəti/,n.,时机，机会,,Level 1,Day 14
40,prepare,/prɪˈper/,v.,准备,I had no time to prepare. 我没时间准备。,Level 1,Day 14
1,actually,/ˈæktʃuəli/,adv.,实际上,"They're not married, actually. 他们实际上没有 结婚。",Level 1,Day 15
2,addition,/əˈdɪʃn/,n.,增加,"In addition, he served as a visiting professor. 之外，他还是客座教授。",Level 1,Day 15
3,certain,/ˈsɜːrtn/,adj.,某一；必然的,Certain people might disagree with this. 某些人 对这事可能不会赞同。 | Are you certain about this? 你对这事确信无疑吗？,Level 1,Day 15
4,certainly,/ˈsɜːrtnli/,adv.,当然,"Without treatment, she will almost certainly 要是不治疗，她十有八九会死。",Level 1,Day 15
5,instead,/ɪnˈsted/,adv.,代替；反而 线｜教研团队,"They raised prices, instead of cutting costs. 提高了价格，而没有削减成本。 54<< 零基础词汇讲义Level 1 15 list certain certainly instead competition especially special possibility probably likely simply obviously clear",Level 1,Day 15
6,complete,/kəmˈpliːt/,adj.,完整的；完全的,a complete change 彻底的变化 | She completed her degree in two years. 她在两年 除此 内修完了学位。,Level 1,Day 15
7,completely,/kəmˈpliːtli/,adv.,完全地,I trust you completely. 我完全信任你。,Level 1,Day 15
8,competition,/ˌkɑːmpəˈtɪʃn/,n.,竞争；比赛,My teacher pushed me into entering the competition. 我的老师劝我参加比赛。,Level 1,Day 15
9,especially,/ɪˈspeʃəli/,,,"She loves all sports, especially swimming. 她喜",Level 1,Day 15
10,special,/ˈspeʃl/,,,We don't want any special treatment. 我们不需要,Level 1,Day 15
11,specific,/spəˈsɪfɪk/,adj.,特定的；详细的,I gave you specific instructions.我给过你明确的 指示。 | The money was collected for a specific purpose. 这笔钱是为一个特定用途而收的。,Level 1,Day 15
12,possible,/ˈpɑːsəbl/,adj.,可能的；合理的,Everything is possible if we want it enough.,Level 1,Day 15
13,possibility,/ˌpɑːsəˈbɪləti/,n.,可能性,There's a strong possibility that we'll lose the game. 我们很有可能会输掉比赛。,Level 1,Day 15
14,probably,/ˈprɑːbəbli/,adv.,或许,Van Gogh is probably the best-known painter the world. 梵高可能是世界上最知名的画家。,Level 1,Day 15
15,likely,/ˈlaɪkli/,adj.,很可能的,Tickets are likely to be expensive. 票可能很贵。 | be likely to 有可能……,Level 1,Day 15
16,particular,/pərˈtɪkjələr/,adj.,特别的,We must pay particular attention to this point. 们必须特别注意这一点。 | in particular 尤其，特别,Level 1,Day 15
17,simple,/ˈsɪmpl/,adj.,简单的；单纯的,,Level 1,Day 15
18,simply,/ˈsɪmpli/,adv.,仅仅,"You can enjoy all the water sports, or simply lie on the beach. 你可以进行所有的水上运动，或只是躺 在沙滩上。",Level 1,Day 15
19,obviously,/ˈɑːbviəsli/,adv.,明显地；显然地,They obviously appreciate you very much. 他们 明显很欣赏你。,Level 1,Day 15
20,clear,/klɪr/,adj.,如果 清楚的；清澈的,She gave me clear directions. 她给了我清晰的 指示。,Level 1,Day 15
21,clearly,/ˈklɪrli/,adv.,明显地,She was clearly speaking the truth. 她讲的显然 是实情。 in 22. unclear | He is still unclear about his own future. 他对自己 的未来仍不清楚。,Level 1,Day 15
23,fame,/feɪm/,n.,名声，名望,Fame can be a double-edged sword. 名声是把双 刃剑。 我 24. private /ˈpraɪvət/ | They sent their children to private schools. 他们 送孩子们上私立学校。,Level 1,Day 15
25,respect,/rɪˈspekt/,n.,尊重；方面,,Level 1,Day 15
26,final,/ˈfaɪnl/,adj.,最终的,The judges' decision is final. 法官的判决是不可 更改的。,Level 1,Day 15
27,finally,/ˈfaɪnəli/,adv.,最后；终于,They finally lost sight of land. 他们最终看不见,Level 1,Day 15
28,determine,/dɪˈtɜːrmɪn/,v.,做出决定,People have a right to determine their own future. 人们有权决定自己的未来。,Level 1,Day 15
29,fail,/feɪl/,v.,失败,He won't allow himself to fail. 他不容许自己失败。 | The party failed to win the election. 该政党未能 赢得选举。,Level 1,Day 15
